Medications_Reference.md: frontmatter missing `trust`
Medications_Reference.md: frontmatter missing `population`
Corpus A/10_11a_Oncology_-_Common_Cancers__Carcinogens__Tumour_Markers.md: frontmatter missing `population`
Corpus A/10_11b_Oncology_-_Genetic_Cancer_Predisposition_Syndromes.md: frontmatter missing `trust`
Corpus A/10_11b_Oncology_-_Genetic_Cancer_Predisposition_Syndromes.md: frontmatter missing `population`
Corpus A/10_11c_Oncology_-_Palliative_Care_Prescribing.md: frontmatter missing `trust`
Corpus A/10_11c_Oncology_-_Palliative_Care_Prescribing.md: frontmatter missing `population`
Corpus A/10_12_Oncology_-_Breast.md: frontmatter missing `trust`
Corpus A/10_12_Oncology_-_Breast.md: frontmatter missing `population`
Corpus A/11_01_Ortho_-_Orthopaedic_Emergencies.md: frontmatter missing `trust`
Corpus A/11_01_Ortho_-_Orthopaedic_Emergencies.md: frontmatter missing `population`
Corpus A/11_02_Ortho_-_Upper_Limb__Shoulder__Elbow__Distal_Radius_Fractures_.md: frontmatter missing `trust`
Corpus A/11_02_Ortho_-_Upper_Limb__Shoulder__Elbow__Distal_Radius_Fractures_.md: frontmatter missing `population`
Corpus A/11_03_Ortho_-_Hand_and_Foot.md: frontmatter missing `trust`
Corpus A/11_03_Ortho_-_Hand_and_Foot.md: frontmatter missing `population`
Corpus A/11_04_Ortho_-_Hip.md: frontmatter missing `trust`
Corpus A/11_04_Ortho_-_Hip.md: frontmatter missing `population`
Corpus A/11_05_Ortho_-_Knee_and_Ankle.md: frontmatter missing `trust`
Corpus A/11_05_Ortho_-_Knee_and_Ankle.md: frontmatter missing `population`
Corpus A/11_06_Ortho_-_Spinal_Orthopaedics.md: frontmatter missing `trust`
Corpus A/11_06_Ortho_-_Spinal_Orthopaedics.md: frontmatter missing `population`
Corpus A/11_07a_Ortho_-_Dermatomes_and_Myotomes_Reference.md: frontmatter missing `trust`
Corpus A/11_07a_Ortho_-_Dermatomes_and_Myotomes_Reference.md: frontmatter missing `population`
Corpus A/11_07b_Ortho_-_Osteomyelitis__Osteochondritis_Dissecans__Fat_Embolism__Charcot_Joint__Osteomalacia.md: frontmatter missing `trust`
Corpus A/11_07b_Ortho_-_Osteomyelitis__Osteochondritis_Dissecans__Fat_Embolism__Charcot_Joint__Osteomalacia.md: frontmatter missing `population`
Corpus A/11_08a_Ortho_-_Joint_Replacements.md: frontmatter missing `trust`
Corpus A/11_08a_Ortho_-_Joint_Replacements.md: frontmatter missing `population`
Corpus A/11_08b_Ortho_-_Paget_s_Disease_and_Osteoporosis.md: frontmatter missing `trust`
Corpus A/11_08b_Ortho_-_Paget_s_Disease_and_Osteoporosis.md: frontmatter missing `population`
Corpus A/11_08c_Ortho_-_Fracture_Types_and_Pathological_Fractures.md: frontmatter missing `trust`
Corpus A/11_08c_Ortho_-_Fracture_Types_and_Pathological_Fractures.md: frontmatter missing `population`
Corpus A/11_09a_Ortho_-_Orthopaedic_and_Bone_Malignancies.md: frontmatter missing `trust`
Corpus A/11_09a_Ortho_-_Orthopaedic_and_Bone_Malignancies.md: frontmatter missing `population`
Corpus A/11_09b_Ortho_-_Trauma.md: frontmatter missing `trust`
Corpus A/11_09b_Ortho_-_Trauma.md: frontmatter missing `population`
Corpus A/11_10_Ortho_-_Paediatric_Orthopaedics.md: frontmatter missing `trust`
Corpus A/11_10_Ortho_-_Paediatric_Orthopaedics.md: frontmatter missing `population`
Corpus A/12_01_Rheum_-_Rheumatoid_Arthritis__Osteoarthritis__Psoriatic_Arthritis.md: frontmatter missing `trust`
Corpus A/12_01_Rheum_-_Rheumatoid_Arthritis__Osteoarthritis__Psoriatic_Arthritis.md: frontmatter missing `population`
Corpus A/12_02_Rheum_-_Ankylosing_Spondylitis__Gout__Pseudogout__Reactive_Arthritis__Fibromyalgia__PMR__CFS.md: frontmatter missing `trust`
Corpus A/12_02_Rheum_-_Ankylosing_Spondylitis__Gout__Pseudogout__Reactive_Arthritis__Fibromyalgia__PMR__CFS.md: frontmatter missing `population`
Corpus A/12_03_Rheum_-_Connective_Tissue_Diseases__SLE__Systemic_Sclerosis__Dermatomyositis__Polymyositis__Sjogren_.md: frontmatter missing `trust`
Corpus A/12_03_Rheum_-_Connective_Tissue_Diseases__SLE__Systemic_Sclerosis__Dermatomyositis__Polymyositis__Sjogren_.md: frontmatter missing `population`
Corpus A/12_04_Rheum_-_Vasculitis.md: frontmatter missing `trust`
Corpus A/12_04_Rheum_-_Vasculitis.md: frontmatter missing `population`
Corpus A/13_01_ENT_-_Otalgia__Otitis_Externa__Otitis_Media__Glue_Ear.md: frontmatter missing `trust`
Corpus A/13_01_ENT_-_Otalgia__Otitis_Externa__Otitis_Media__Glue_Ear.md: frontmatter missing `population`
Corpus A/13_02_ENT_-_Hearing_Loss__Tinnitus__Vertigo__DDx_Charts_.md: frontmatter missing `trust`
Corpus A/13_02_ENT_-_Hearing_Loss__Tinnitus__Vertigo__DDx_Charts_.md: frontmatter missing `population`
Corpus A/13_03_ENT_-_Deafness_and_Vertigo_Conditions.md: frontmatter missing `trust`
Corpus A/13_03_ENT_-_Deafness_and_Vertigo_Conditions.md: frontmatter missing `population`
Corpus A/13_04_ENT_-_Nose__Rhinosinusitis__Fractures__CSF_Rhinorrhoea__Epistaxis__Nasal_Cancers_.md: frontmatter missing `trust`
Corpus A/13_04_ENT_-_Nose__Rhinosinusitis__Fractures__CSF_Rhinorrhoea__Epistaxis__Nasal_Cancers_.md: frontmatter missing `population`
Corpus A/13_05a_ENT_-_Sore_Throat_and_Tonsillitis.md: frontmatter missing `trust`
Corpus A/13_05a_ENT_-_Sore_Throat_and_Tonsillitis.md: frontmatter missing `population`
Corpus A/13_05b_ENT_-_Stridor__Croup__Epiglottitis__Laryngomalacia__OSA.md: frontmatter missing `trust`
Corpus A/13_05b_ENT_-_Stridor__Croup__Epiglottitis__Laryngomalacia__OSA.md: frontmatter missing `population`
Corpus A/13_06a_ENT_-_Dysphonia_and_HNSCC.md: frontmatter missing `trust`
Corpus A/13_06a_ENT_-_Dysphonia_and_HNSCC.md: frontmatter missing `population`
Corpus A/13_06b_ENT_-_Dysphagia_and_Oesophageal_Pathology.md: frontmatter missing `trust`
Corpus A/13_06b_ENT_-_Dysphagia_and_Oesophageal_Pathology.md: frontmatter missing `population`
Corpus A/13_06c_ENT_-_Bell_s_Palsy.md: frontmatter missing `trust`
Corpus A/13_06c_ENT_-_Bell_s_Palsy.md: frontmatter missing `population`
Corpus A/13_07a_ENT_-_Neck_Lumps.md: frontmatter missing `trust`
Corpus A/13_07a_ENT_-_Neck_Lumps.md: frontmatter missing `population`
Corpus A/13_07b_ENT_-_Salivary_Gland_Problems_and_Xerostomia.md: frontmatter missing `trust`
Corpus A/13_07b_ENT_-_Salivary_Gland_Problems_and_Xerostomia.md: frontmatter missing `population`
Corpus A/13_07c_ENT_-_Dental_and_Teeth_Problems.md: frontmatter missing `trust`
Corpus A/13_07c_ENT_-_Dental_and_Teeth_Problems.md: frontmatter missing `population`
Corpus A/14_01_Psych_-_Mood_Disorders__Depression__Suicide__Bipolar_.md: frontmatter missing `trust`
Corpus A/14_01_Psych_-_Mood_Disorders__Depression__Suicide__Bipolar_.md: frontmatter missing `population`
Corpus A/14_02_Psych_-_Anxiety_and_Related_Disorders.md: frontmatter missing `trust`
Corpus A/14_02_Psych_-_Anxiety_and_Related_Disorders.md: frontmatter missing `population`
Corpus A/14_03_Psych_-_Psychotic_Disorders_and_Antipsychotics.md: frontmatter missing `trust`
Corpus A/14_03_Psych_-_Psychotic_Disorders_and_Antipsychotics.md: frontmatter missing `population`
Corpus A/14_04_Psych_-_Personality_Disorders.md: frontmatter missing `trust`
Corpus A/14_04_Psych_-_Personality_Disorders.md: frontmatter missing `population`
Corpus A/14_05a_Psych_-_Eating_Disorders.md: frontmatter missing `trust`
Corpus A/14_05a_Psych_-_Eating_Disorders.md: frontmatter missing `population`
Corpus A/14_05b_Psych_-_Insomnia.md: frontmatter missing `trust`
Corpus A/14_05b_Psych_-_Insomnia.md: frontmatter missing `population`
Corpus A/14_05c_Psych_-_Unexplained_Symptoms__Somatoform__Dissociative__Factitious_Disorders_.md: frontmatter missing `trust`
Corpus A/14_05c_Psych_-_Unexplained_Symptoms__Somatoform__Dissociative__Factitious_Disorders_.md: frontmatter missing `population`
Corpus A/14_05d_Psych_-_Electroconvulsive_Therapy.md: frontmatter missing `trust`
Corpus A/14_05d_Psych_-_Electroconvulsive_Therapy.md: frontmatter missing `population`
Corpus A/14_06a_Psych_-_Drugs_Used_in_Psychiatry.md: frontmatter missing `trust`
Corpus A/14_06a_Psych_-_Drugs_Used_in_Psychiatry.md: frontmatter missing `population`
Corpus A/14_06b_Psych_-_Mental_Health_Act_and_Sectioning.md: frontmatter missing `trust`
Corpus A/14_06b_Psych_-_Mental_Health_Act_and_Sectioning.md: frontmatter missing `population`
Corpus A/14_07_Psych_-_Attention_Deficit_Hyperactivity_Disorder.md: frontmatter missing `trust`
Corpus A/14_07_Psych_-_Attention_Deficit_Hyperactivity_Disorder.md: frontmatter missing `population`
Corpus A/14a-1_Psych_-_Substance_Misuse__Recreational_Drug_Profiles_.md: frontmatter missing `trust`
Corpus A/14a-1_Psych_-_Substance_Misuse__Recreational_Drug_Profiles_.md: frontmatter missing `population`
Corpus A/14a-2_Psych_-_Overdose_and_Poisoning_Management.md: frontmatter missing `trust`
Corpus A/14a-2_Psych_-_Overdose_and_Poisoning_Management.md: frontmatter missing `population`
Corpus A/15_01a_Paeds_-_Paediatric_and_Newborn_Life_Support.md: frontmatter missing `trust`
Corpus A/15_01a_Paeds_-_Paediatric_and_Newborn_Life_Support.md: frontmatter missing `population`
Corpus A/15_01b_Paeds_-_Anaphylaxis.md: frontmatter missing `trust`
Corpus A/15_01b_Paeds_-_Anaphylaxis.md: frontmatter missing `population`
Corpus A/15_02_Paeds_-_Ill_and_Feverish_Child__Meningitis__Encephalitis.md: frontmatter missing `trust`
Corpus A/15_02_Paeds_-_Ill_and_Feverish_Child__Meningitis__Encephalitis.md: frontmatter missing `population`
Corpus A/15_03a_Paeds_-_Childhood_Viral_Exanthems.md: frontmatter missing `trust`
Corpus A/15_03a_Paeds_-_Childhood_Viral_Exanthems.md: frontmatter missing `population`
Corpus A/15_03b_Paeds_-_HIV_in_Children.md: frontmatter missing `trust`
Corpus A/15_03b_Paeds_-_HIV_in_Children.md: frontmatter missing `population`
Corpus A/15_04a_Paeds_-_URTI_and_LRTI.md: frontmatter missing `trust`
Corpus A/15_04a_Paeds_-_URTI_and_LRTI.md: frontmatter missing `population`
Corpus A/15_04b_Paeds_-_Asthma_in_Children.md: frontmatter missing `trust`
Corpus A/15_04b_Paeds_-_Asthma_in_Children.md: frontmatter missing `population`
Corpus A/15_05_Paeds_-_Acyanotic_Congenital_Heart_Disease.md: frontmatter missing `trust`
Corpus A/15_05_Paeds_-_Acyanotic_Congenital_Heart_Disease.md: frontmatter missing `population`
Corpus A/15_06_Paeds_-_Cyanotic_CHD__Kawasaki_Disease__Murmurs.md: frontmatter missing `trust`
Corpus A/15_06_Paeds_-_Cyanotic_CHD__Kawasaki_Disease__Murmurs.md: frontmatter missing `population`
Corpus A/15_07_Paeds_-_Abdominal_Pain__Neuroblastoma__Coeliac_Disease__Malnutrition__Diarrhoea_and_Vomiting.md: frontmatter missing `trust`
Corpus A/15_07_Paeds_-_Abdominal_Pain__Neuroblastoma__Coeliac_Disease__Malnutrition__Diarrhoea_and_Vomiting.md: frontmatter missing `population`
Corpus A/15_08_Paeds_-_Surgical_Abdomen__Appendicitis__Intussusception__Pyloric_Stenosis__Hirschsprung__Oesophageal_Atresia_.md: frontmatter missing `trust`
Corpus A/15_08_Paeds_-_Surgical_Abdomen__Appendicitis__Intussusception__Pyloric_Stenosis__Hirschsprung__Oesophageal_Atresia_.md: frontmatter missing `population`
Corpus A/15_09a_Paeds_-_Congenital_Abdominal_Wall_and_GI_Anomalies.md: frontmatter missing `trust`
Corpus A/15_09a_Paeds_-_Congenital_Abdominal_Wall_and_GI_Anomalies.md: frontmatter missing `population`
Corpus A/15_09b_Paeds_-_Infant_Feeding_Problems.md: frontmatter missing `trust`
Corpus A/15_09b_Paeds_-_Infant_Feeding_Problems.md: frontmatter missing `population`
Corpus A/15_10_Paeds_-_UTI__Nephrotic_Syndrome__Glomerulonephritis.md: frontmatter missing `trust`
Corpus A/15_10_Paeds_-_UTI__Nephrotic_Syndrome__Glomerulonephritis.md: frontmatter missing `population`
Corpus A/15_11_Paeds_-_Urological_and_Renal_Anomalies__Wilms_Tumour__HUS.md: frontmatter missing `trust`
Corpus A/15_11_Paeds_-_Urological_and_Renal_Anomalies__Wilms_Tumour__HUS.md: frontmatter missing `population`
Corpus A/15_12a_Paeds_-_Epilepsy_Syndromes_and_Status_Epilepticus.md: frontmatter missing `trust`
Corpus A/15_12a_Paeds_-_Epilepsy_Syndromes_and_Status_Epilepticus.md: frontmatter missing `population`
Corpus A/15_12b_Paeds_-_Brain_Tumours.md: frontmatter missing `trust`
Corpus A/15_12b_Paeds_-_Brain_Tumours.md: frontmatter missing `population`
Corpus A/15_13a_Paeds_-_Neural_Tube_Defects.md: frontmatter missing `trust`
Corpus A/15_13a_Paeds_-_Neural_Tube_Defects.md: frontmatter missing `population`
Corpus A/15_13b_Paeds_-_Autism_Spectrum_Disorder_and_Cleft_Lip_Palate.md: frontmatter missing `trust`
Corpus A/15_13b_Paeds_-_Autism_Spectrum_Disorder_and_Cleft_Lip_Palate.md: frontmatter missing `population`
Corpus A/15_14_Paeds_-_Anaemia__Sickle_Cell__Hereditary_Spherocytosis__HSP.md: frontmatter missing `trust`
Corpus A/15_14_Paeds_-_Anaemia__Sickle_Cell__Hereditary_Spherocytosis__HSP.md: frontmatter missing `population`
Corpus A/15_15a_Paeds_-_ITP_and_Acute_Lymphoblastic_Leukaemia.md: frontmatter missing `trust`
Corpus A/15_15a_Paeds_-_ITP_and_Acute_Lymphoblastic_Leukaemia.md: frontmatter missing `population`
Corpus A/15_15b_Paeds_-_Primary_Immunodeficiencies_and_SCID.md: frontmatter missing `trust`
Corpus A/15_15b_Paeds_-_Primary_Immunodeficiencies_and_SCID.md: frontmatter missing `population`
Corpus A/15_16a_Paeds_-_Hypothyroidism.md: frontmatter missing `trust`
Corpus A/15_16a_Paeds_-_Hypothyroidism.md: frontmatter missing `population`
Corpus A/15_16b_Paeds_-_Diabetes_Mellitus__MODY__DKA.md: frontmatter missing `trust`
Corpus A/15_16b_Paeds_-_Diabetes_Mellitus__MODY__DKA.md: frontmatter missing `population`
Corpus A/15_17a_Paeds_-_Hyperthyroidism_and_Approach_to_Inherited_Metabolic_Disease.md: frontmatter missing `trust`
Corpus A/15_17a_Paeds_-_Hyperthyroidism_and_Approach_to_Inherited_Metabolic_Disease.md: frontmatter missing `population`
Corpus A/15_17b_Paeds_-_Glycogen_Storage_Disorders__PKU__Lysosomal_Storage_Diseases.md: frontmatter missing `trust`
Corpus A/15_17b_Paeds_-_Glycogen_Storage_Disorders__PKU__Lysosomal_Storage_Diseases.md: frontmatter missing `population`
Corpus A/15_18a_Paeds_-_Precocious_and_Delayed_Puberty__CAH.md: frontmatter missing `trust`
Corpus A/15_18a_Paeds_-_Precocious_and_Delayed_Puberty__CAH.md: frontmatter missing `population`
Corpus A/15_18b_Paeds_-_Genetic_Disorders_Inheritance_Summary.md: frontmatter missing `trust`
Corpus A/15_18b_Paeds_-_Genetic_Disorders_Inheritance_Summary.md: frontmatter missing `population`
Corpus A/15_19a_Paeds_-_Developmental_Milestones_and_Delay.md: frontmatter missing `trust`
Corpus A/15_19a_Paeds_-_Developmental_Milestones_and_Delay.md: frontmatter missing `population`
Corpus A/15_19b_Paeds_-_Cerebral_Palsy_and_Muscular_Dystrophies.md: frontmatter missing `trust`
Corpus A/15_19b_Paeds_-_Cerebral_Palsy_and_Muscular_Dystrophies.md: frontmatter missing `population`
Corpus A/15_20a_Paeds_-_Trisomies_and_Sex_Chromosome_Disorders.md: frontmatter missing `trust`
Corpus A/15_20a_Paeds_-_Trisomies_and_Sex_Chromosome_Disorders.md: frontmatter missing `population`
Corpus A/15_20b_Paeds_-_Imprinting_Disorders__Prader-Willi__Angelman_.md: frontmatter missing `trust`
Corpus A/15_20b_Paeds_-_Imprinting_Disorders__Prader-Willi__Angelman_.md: frontmatter missing `population`
Corpus A/15_21a_Paeds_-_Microdeletion_Syndromes__Cri_du_Chat__DiGeorge__Williams_.md: frontmatter missing `trust`
Corpus A/15_21a_Paeds_-_Microdeletion_Syndromes__Cri_du_Chat__DiGeorge__Williams_.md: frontmatter missing `population`
Corpus A/15_21b_Paeds_-_Fragile_X__Achondroplasia__Noonan__Marfan.md: frontmatter missing `trust`
Corpus A/15_21b_Paeds_-_Fragile_X__Achondroplasia__Noonan__Marfan.md: frontmatter missing `population`
Corpus A/15_22a_Paeds_-_Neonatal_Sepsis_and_Seizures.md: frontmatter missing `trust`
Corpus A/15_22a_Paeds_-_Neonatal_Sepsis_and_Seizures.md: frontmatter missing `population`
Corpus A/15_22b_Paeds_-_Neonatal_Respiratory_Distress_and_Jaundice.md: frontmatter missing `trust`
Corpus A/15_22b_Paeds_-_Neonatal_Respiratory_Distress_and_Jaundice.md: frontmatter missing `population`
Corpus A/15_23a_Paeds_-_NEC__Neonatal_Hypoglycaemia__Hypotonia.md: frontmatter missing `trust`
Corpus A/15_23a_Paeds_-_NEC__Neonatal_Hypoglycaemia__Hypotonia.md: frontmatter missing `population`
Corpus A/15_23b_Paeds_-_Minor_Neonatal_Problems.md: frontmatter missing `trust`
Corpus A/15_23b_Paeds_-_Minor_Neonatal_Problems.md: frontmatter missing `population`
Corpus A/15_24a_Paeds_-_Non-Accidental_Injury_and_Sexual_Abuse.md: frontmatter missing `trust`
Corpus A/15_24a_Paeds_-_Non-Accidental_Injury_and_Sexual_Abuse.md: frontmatter missing `population`
Corpus A/15_24b_Paeds_-_Screening__SIDS__Vaccination_Schedule.md: frontmatter missing `trust`
Corpus A/15_24b_Paeds_-_Screening__SIDS__Vaccination_Schedule.md: frontmatter missing `population`
Corpus A/16_01-05_Antenatal_Care.md: frontmatter missing `trust`
Corpus A/16_01-05_Antenatal_Care.md: frontmatter missing `population`
Corpus A/16_06-07_Ante-Perinatal_Infections.md: frontmatter missing `trust`
Corpus A/16_06-07_Ante-Perinatal_Infections.md: frontmatter missing `population`
Corpus A/16_08-09_Antenatal_and_Perinatal_Problems.md: frontmatter missing `trust`
Corpus A/16_08-09_Antenatal_and_Perinatal_Problems.md: frontmatter missing `population`
Corpus A/16_10-13_Labour_and_Delivery.md: frontmatter missing `trust`
Corpus A/16_10-13_Labour_and_Delivery.md: frontmatter missing `population`
Corpus A/16_14-15_Obstetric_Emergencies.md: frontmatter missing `trust`
Corpus A/16_14-15_Obstetric_Emergencies.md: frontmatter missing `population`
Corpus A/16_16-17_Contraception.md: frontmatter missing `trust`
Corpus A/16_16-17_Contraception.md: frontmatter missing `population`
Corpus A/17_01_FGM__Amenorrhoea__PCOS.md: frontmatter missing `trust`
Corpus A/17_01_FGM__Amenorrhoea__PCOS.md: frontmatter missing `population`
Corpus A/17_02_Menorrhagia__PMS__Menopause__HRT.md: frontmatter missing `trust`
Corpus A/17_02_Menorrhagia__PMS__Menopause__HRT.md: frontmatter missing `population`
Corpus A/17_03_Termination_of_Pregnancy_and_Miscarriage.md: frontmatter missing `trust`
Corpus A/17_03_Termination_of_Pregnancy_and_Miscarriage.md: frontmatter missing `population`
Corpus A/17_04_Ectopic_Pregnancy_and_GTD.md: frontmatter missing `trust`
Corpus A/17_04_Ectopic_Pregnancy_and_GTD.md: frontmatter missing `population`
Corpus A/17_05_PID__Endometriosis__Fibroids.md: frontmatter missing `trust`
Corpus A/17_05_PID__Endometriosis__Fibroids.md: frontmatter missing `population`
Corpus A/17_06_Subfertility_and_OHSS.md: frontmatter missing `trust`
Corpus A/17_06_Subfertility_and_OHSS.md: frontmatter missing `population`
Corpus A/17_07_Vulval_Problems__Genital_Warts_and_Herpes__Vulval_Carcinoma.md: frontmatter missing `trust`
Corpus A/17_07_Vulval_Problems__Genital_Warts_and_Herpes__Vulval_Carcinoma.md: frontmatter missing `population`
Corpus A/17_08_Vaginal_Discharge__Urinary_Incontinence__Pelvic_Organ_Prolapse.md: frontmatter missing `trust`
Corpus A/17_08_Vaginal_Discharge__Urinary_Incontinence__Pelvic_Organ_Prolapse.md: frontmatter missing `population`
Corpus A/17_09_Cervical__Vaginal_and_Endometrial_Cancer.md: frontmatter missing `trust`
Corpus A/17_09_Cervical__Vaginal_and_Endometrial_Cancer.md: frontmatter missing `population`
