Category,Topic,Studied? (Y/N),Confidence (1-3),Notes,Yield (MCQ+OSCE),UK Notes Coverage (est.),If gap: suggested resource
Cardiology,Superventricular tachycardia (SVT),,,,Medium,Likely covered,
Cardiology,Supra-Ventricular Tachycardia,,,,Medium,Likely covered,
Cardiology,Syncope,,,,High,Likely covered,
Cardiology,Systemic Lupus Erythematosus,,,,High,Likely covered,
Cardiology,Systemic sclerosis,,,,Medium,Likely covered,
Cardiology,Tamponade,,,,Medium,Likely covered,
Cardiology,Third Degree Heart Block,,,,High,Likely covered,
Cardiology,Trifasicular Block,,,,Medium,Partially covered,Zero to Finals - Cardiology
Cardiology,Unstable Angina,,,,High,Likely covered,
Cardiology,Valvular heart disease,,,,High,Likely covered,
Cardiology,Varicose vein,,,,Medium,Likely covered,
Cardiology,Ventricular Tachycardia,,,,Medium,Likely covered,
Cardiology,Wolff-Parkinson White Syndrome (WPW),,,,Medium,Likely covered,
Cardiology,sudden cardiac arrest,,,,Medium,Likely covered,
Cardiology,tachyarrhythmias,,,,Medium,Unlikely covered,Zero to Finals - Cardiology
"Immunology, Allergy & Infectious Disease",Allergic Rhinitis (Hayfever),,,,High,Unlikely covered,Zero to Finals - Infectious Disease / Immunology
"Immunology, Allergy & Infectious Disease",Allergic contact dermatitis,,,,High,Unlikely covered,Zero to Finals - Infectious Disease / Immunology
"Immunology, Allergy & Infectious Disease",Allergy,,,,High,Unlikely covered,Zero to Finals - Infectious Disease / Immunology
"Immunology, Allergy & Infectious Disease","Anal disorders: abscess, fissure, haemorrhoids",,,,Medium,Likely covered,
"Immunology, Allergy & Infectious Disease",Anaphylaxis,,,,High,Likely covered,
"Immunology, Allergy & Infectious Disease",Angiodema,,,,Medium,Unlikely covered,Zero to Finals - Infectious Disease / Immunology
"Immunology, Allergy & Infectious Disease",Bacteraemia and septicaemia,,,,Medium,Unlikely covered,Zero to Finals - Infectious Disease / Immunology
"Immunology, Allergy & Infectious Disease",Blood cultures/microbiology basics,,,,Medium,Partially covered,Zero to Finals - Infectious Disease / Immunology
"Immunology, Allergy & Infectious Disease","CNS infections (meningitis, encephalitis, brain abscess)",,,,High,Likely covered,
"Immunology, Allergy & Infectious Disease",Cellulitis,,,,High,Likely covered,
"Immunology, Allergy & Infectious Disease",Cellulitis and abscess,,,,High,Likely covered,
"Immunology, Allergy & Infectious Disease","Common viral infection (influenza, herpes, EBV, CMV)",,,,Medium,Partially covered,Zero to Finals - Infectious Disease / Immunology
"Immunology, Allergy & Infectious Disease",Fever,,,,High,Likely covered,
"Immunology, Allergy & Infectious Disease",Fever of unknown origin,,,,High,Likely covered,
"Immunology, Allergy & Infectious Disease",HIV,,,,High,Likely covered,
"Immunology, Allergy & Infectious Disease",Human immunodeficiency virus (HIV),,,,High,Likely covered,
"Immunology, Allergy & Infectious Disease",Infectious rashes in paediatrics,,,,Medium,Partially covered,Zero to Finals - Infectious Disease / Immunology
"Immunology, Allergy & Infectious Disease",Inflammatory markers (CRP/ESR),,,,Medium,Partially covered,Zero to Finals - Infectious Disease / Immunology
"Immunology, Allergy & Infectious Disease",M-Pox,,,,Medium,Unlikely covered,Zero to Finals - Infectious Disease / Immunology
"Immunology, Allergy & Infectious Disease",Mastitis and breast abscess,,,,High,Partially covered,Zero to Finals - Infectious Disease / Immunology
"Immunology, Allergy & Infectious Disease",Necrotising Fasciitis,,,,High,Likely covered,
"Immunology, Allergy & Infectious Disease",Orbital cellulitis,,,,Medium,Likely covered,
"Immunology, Allergy & Infectious Disease",Osteomyelitis,,,,Medium,Likely covered,
"Immunology, Allergy & Infectious Disease",Peri-Tonsilar Abscess,,,,Medium,Partially covered,Zero to Finals - Infectious Disease / Immunology
"Immunology, Allergy & Infectious Disease",Return traveller fever,,,,Medium,Likely covered,
"Immunology, Allergy & Infectious Disease",Rheumatic fever,,,,High,Likely covered,
"Immunology, Allergy & Infectious Disease",Scleroderma,,,,High,Likely covered,
"Immunology, Allergy & Infectious Disease",Septic arthritis,,,,High,Likely covered,
"Immunology, Allergy & Infectious Disease",Septic shock,,,,High,Likely covered,
"Immunology, Allergy & Infectious Disease",Sjogren's Syndrome,,,,Low,Likely covered,
"Immunology, Allergy & Infectious Disease",Skin infection or infestation,,,,High,Partially covered,Zero to Finals - Infectious Disease / Immunology
"Immunology, Allergy & Infectious Disease","Space Occupying Lesion; Tumor, Abscess, Cyst",,,,Medium,Unlikely covered,Zero to Finals - Infectious Disease / Immunology
"Immunology, Allergy & Infectious Disease",Urticaria,,,,Medium,Likely covered,
"Immunology, Allergy & Infectious Disease",Vasculitis,,,,Medium,Likely covered,
"Immunology, Allergy & Infectious Disease",Viral Preumonitis,,,,Medium,Likely covered,
"Immunology, Allergy & Infectious Disease","Viral infections Skin infections of infestations:, specifically: Herpes group",,,,Medium,Likely covered,
"Immunology, Allergy & Infectious Disease",Vulvar and vaginal infections and diseases,,,,Medium,Partially covered,Zero to Finals - Infectious Disease / Immunology
"Immunology, Allergy & Infectious Disease",Wound swab / surgical site MC&S — general surgery infection workups,,,,Medium,Partially covered,Zero to Finals - Infectious Disease / Immunology
"Immunology, Allergy & Infectious Disease",sepsis,,,,High,Likely covered,
Endocrine & Metabolic,"Acid-base disturbances (e.g. hyponatraemia, hypercalcaemia, hyperkalaemia)",,,,Medium,Likely covered,
Endocrine & Metabolic,Acromegaly,,,,Low,Likely covered,
Endocrine & Metabolic,Addison's Disease,,,,Low,Likely covered,
Endocrine & Metabolic,Addisonian Crisis,,,,Low,Likely covered,
Endocrine & Metabolic,Cortisol/short synacthen test,,,,Medium,Likely covered,
Endocrine & Metabolic,Cushing's Disease,,,,High,Likely covered,
Endocrine & Metabolic,Cushing's Syndrome,,,,High,Likely covered,
Endocrine & Metabolic,Diabetes insipidus,,,,High,Likely covered,
Endocrine & Metabolic,Diabetic foot,,,,High,Likely covered,
